transaction_id,lifecycle
TX_42_1010_2805,ORDER_CREATED (05:19:00.000) -> PAYMENT_ATTEMPTED (05:19:01.469) -> AUTHORIZATION_SUCCESS (05:19:03.660) -> CAPTURE_SUCCESS (05:19:04.412) -> WEBHOOK_RECEIVED (05:19:07.193) -> SETTLEMENT_CREATED (02:30:45.645) -> SETTLEMENT_COMPLETED (05:03:46.749)
TX_42_1011_6515,ORDER_CREATED (16:02:00.000) -> PAYMENT_ATTEMPTED (16:02:02.926) -> AUTHORIZATION_SUCCESS (16:02:06.657) -> CAPTURE_SUCCESS (16:02:07.260) -> WEBHOOK_RECEIVED (16:02:08.075) -> SETTLEMENT_CREATED (05:55:48.438) -> SETTLEMENT_COMPLETED (09:36:02.126)
TX_42_1014_6456,ORDER_CREATED (02:00:00.000) -> PAYMENT_ATTEMPTED (02:00:02.281) -> AUTHORIZATION_SUCCESS (02:00:06.016) -> CAPTURE_SUCCESS (02:00:06.998) -> WEBHOOK_RECEIVED (02:00:07.941) -> SETTLEMENT_CREATED (04:00:44.969) -> SETTLEMENT_COMPLETED (05:31:23.287)
TX_42_1015_1110,ORDER_CREATED (17:52:00.000) -> PAYMENT_ATTEMPTED (17:52:02.436) -> AUTHORIZATION_FAILED (17:52:08.174) -> PAYMENT_RETRIED (17:54:26.326) -> PAYMENT_FAILED (17:54:27.467) -> WEBHOOK_RECEIVED (17:54:29.832)
TX_42_1016_1284,ORDER_CREATED (15:03:00.000) -> PAYMENT_ATTEMPTED (15:03:01.632) -> AUTHORIZATION_FAILED (15:03:05.911) -> PAYMENT_RETRIED (15:07:55.263) -> AUTHORIZATION_SUCCESS (15:07:56.921) -> CAPTURE_SUCCESS (15:07:57.474) -> WEBHOOK_RECEIVED (15:07:59.210) -> SETTLEMENT_CREATED (02:19:39.552) -> SETTLEMENT_COMPLETED (04:24:46.749)
TX_42_1017_9633,ORDER_CREATED (15:30:00.000) -> PAYMENT_ATTEMPTED (15:30:02.676) -> AUTHORIZATION_SUCCESS (15:30:06.622) -> CAPTURE_SUCCESS (15:30:07.436) -> WEBHOOK_RECEIVED (15:30:08.488) -> SETTLEMENT_CREATED (16:44:48.482) -> SETTLEMENT_COMPLETED (20:17:29.357)
TX_42_1018_4405,ORDER_CREATED (13:00:00.000) -> PAYMENT_ATTEMPTED (13:00:00.850) -> AUTHORIZATION_SUCCESS (13:00:03.577) -> CAPTURE_SUCCESS (13:00:04.477) -> WEBHOOK_RECEIVED (13:00:05.757) -> SETTLEMENT_CREATED (20:11:44.335) -> SETTLEMENT_COMPLETED (23:14:54.118)
TX_42_1019_3200,ORDER_CREATED (21:58:00.000) -> PAYMENT_ATTEMPTED (21:58:01.027) -> AUTHORIZATION_SUCCESS (21:58:02.792) -> CAPTURE_SUCCESS (21:58:03.768) -> WEBHOOK_RECEIVED (21:58:04.984) -> SETTLEMENT_CREATED (14:02:31.299) -> SETTLEMENT_COMPLETED (16:17:57.754)
TX_42_101_9627,ORDER_CREATED (09:13:00.000) -> PAYMENT_ATTEMPTED (09:13:01.211) -> AUTHORIZATION_SUCCESS (09:13:05.604) -> CAPTURE_SUCCESS (09:13:06.320) -> WEBHOOK_RECEIVED (09:13:07.545) -> SETTLEMENT_CREATED (21:56:55.581) -> SETTLEMENT_COMPLETED (23:27:28.980)
TX_42_1020_1368,ORDER_CREATED (12:19:00.000) -> PAYMENT_ATTEMPTED (12:19:01.359) -> AUTHORIZATION_SUCCESS (12:19:05.973) -> CAPTURE_SUCCESS (12:19:06.785) -> WEBHOOK_RECEIVED (12:19:07.872) -> SETTLEMENT_CREATED (05:45:04.771) -> SETTLEMENT_COMPLETED (07:15:30.696)
TX_42_1021_2050,ORDER_CREATED (14:03:00.000) -> PAYMENT_ATTEMPTED (14:03:01.323) -> AUTHORIZATION_SUCCESS (14:03:05.206) -> CAPTURE_SUCCESS (14:03:06.204) -> WEBHOOK_RECEIVED (14:03:07.352) -> SETTLEMENT_CREATED (16:31:10.045) -> SETTLEMENT_COMPLETED (18:27:30.329)
TX_42_1024_7508,ORDER_CREATED (11:49:00.000) -> PAYMENT_ATTEMPTED (11:49:01.214) -> AUTHORIZATION_SUCCESS (11:49:05.877) -> CAPTURE_SUCCESS (11:49:06.729) -> WEBHOOK_RECEIVED (11:49:07.685) -> SETTLEMENT_CREATED (22:51:08.985) -> SETTLEMENT_COMPLETED (00:43:28.558)
TX_42_1027_1372,ORDER_CREATED (11:40:00.000) -> PAYMENT_ATTEMPTED (11:40:02.728) -> AUTHORIZATION_SUCCESS (11:40:07.005) -> CAPTURE_SUCCESS (11:40:07.620) -> WEBHOOK_RECEIVED (11:40:08.191) -> SETTLEMENT_CREATED (18:50:50.992) -> SETTLEMENT_COMPLETED (21:03:03.576)
TX_42_102_5887,ORDER_CREATED (11:59:00.000) -> PAYMENT_ATTEMPTED (11:59:01.788) -> AUTHORIZATION_SUCCESS (11:59:06.413) -> CAPTURE_SUCCESS (11:59:07.182) -> WEBHOOK_RECEIVED (11:59:09.014) -> SETTLEMENT_CREATED (21:20:30.910) -> SETTLEMENT_COMPLETED (22:22:24.862)
TX_42_1030_6922,ORDER_CREATED (00:44:00.000) -> PAYMENT_ATTEMPTED (00:44:01.608) -> AUTHORIZATION_FAILED (00:44:08.999) -> PAYMENT_RETRIED (00:46:06.827) -> AUTHORIZATION_SUCCESS (00:46:09.842) -> CAPTURE_SUCCESS (00:46:10.524) -> WEBHOOK_RECEIVED (00:46:20.009) -> SETTLEMENT_CREATED (11:27:59.942) -> SETTLEMENT_COMPLETED (14:52:28.791)
TX_42_1031_5986,ORDER_CREATED (04:36:00.000) -> PAYMENT_ATTEMPTED (04:36:01.376) -> AUTHORIZATION_SUCCESS (04:36:04.671) -> CAPTURE_SUCCESS (04:36:05.651) -> WEBHOOK_RECEIVED (04:36:08.317) -> SETTLEMENT_CREATED (15:26:21.203) -> SETTLEMENT_COMPLETED (17:26:53.530)
TX_42_1032_5274,ORDER_CREATED (18:41:00.000) -> PAYMENT_ATTEMPTED (18:41:01.370) -> AUTHORIZATION_SUCCESS (18:41:06.236) -> CAPTURE_SUCCESS (18:41:06.670) -> WEBHOOK_RECEIVED (18:41:07.251) -> SETTLEMENT_CREATED (20:47:38.279) -> SETTLEMENT_COMPLETED (00:11:48.943)
TX_42_1033_5001,ORDER_CREATED (16:50:00.000) -> PAYMENT_ATTEMPTED (16:50:02.180) -> AUTHORIZATION_SUCCESS (16:50:03.945) -> CAPTURE_SUCCESS (16:50:04.185) -> WEBHOOK_RECEIVED (16:50:06.158) -> SETTLEMENT_CREATED (00:19:24.290) -> SETTLEMENT_COMPLETED (03:44:05.050)
TX_42_1036_2378,ORDER_CREATED (18:48:00.000) -> PAYMENT_ATTEMPTED (18:48:01.228) -> AUTHORIZATION_SUCCESS (18:48:04.436) -> CAPTURE_SUCCESS (18:48:05.247) -> WEBHOOK_RECEIVED (18:48:06.283) -> SETTLEMENT_CREATED (12:46:53.623) -> SETTLEMENT_COMPLETED (13:55:54.779)
TX_42_1037_7306,ORDER_CREATED (07:57:00.000) -> PAYMENT_ATTEMPTED (07:57:00.775) -> AUTHORIZATION_SUCCESS (07:57:01.776) -> CAPTURE_SUCCESS (07:57:01.979) -> WEBHOOK_RECEIVED (07:57:03.417) -> SETTLEMENT_CREATED (14:21:37.224) -> SETTLEMENT_COMPLETED (16:03:20.625)
TX_42_1039_5568,ORDER_CREATED (23:42:00.000) -> PAYMENT_ATTEMPTED (23:42:02.924) -> AUTHORIZATION_SUCCESS (23:42:06.803) -> CAPTURE_SUCCESS (23:42:07.163) -> WEBHOOK_RECEIVED (23:42:09.372) -> SETTLEMENT_CREATED (12:46:45.380) -> SETTLEMENT_COMPLETED (14:28:56.777)
TX_42_1040_8423,ORDER_CREATED (00:42:00.000) -> PAYMENT_ATTEMPTED (00:42:02.338) -> AUTHORIZATION_SUCCESS (00:42:06.952) -> CAPTURE_SUCCESS (00:42:07.567) -> WEBHOOK_RECEIVED (00:42:09.951) -> SETTLEMENT_CREATED (08:10:43.509) -> SETTLEMENT_COMPLETED (09:40:17.093)
TX_42_1041_4447,ORDER_CREATED (20:54:00.000) -> PAYMENT_ATTEMPTED (20:54:00.888) -> AUTHORIZATION_SUCCESS (20:54:03.761) -> CAPTURE_SUCCESS (20:54:04.563) -> WEBHOOK_RECEIVED (20:54:07.411) -> SETTLEMENT_CREATED (21:11:48.965) -> SETTLEMENT_COMPLETED (22:56:56.870)
TX_42_1042_5864,ORDER_CREATED (05:14:00.000) -> PAYMENT_ATTEMPTED (05:14:00.551) -> AUTHORIZATION_FAILED (05:14:07.004) -> PAYMENT_RETRIED (05:18:10.162) -> PAYMENT_FAILED (05:18:14.264) -> WEBHOOK_RECEIVED (05:18:16.076)
TX_42_1043_8479,ORDER_CREATED (09:55:00.000) -> PAYMENT_ATTEMPTED (09:55:00.979) -> AUTHORIZATION_SUCCESS (09:55:04.241) -> CAPTURE_SUCCESS (09:55:04.997) -> WEBHOOK_RECEIVED (09:55:07.087) -> SETTLEMENT_CREATED (07:49:17.478) -> SETTLEMENT_COMPLETED (10:05:47.180)
TX_42_1045_8929,ORDER_CREATED (19:30:00.000) -> PAYMENT_ATTEMPTED (19:30:02.657) -> AUTHORIZATION_SUCCESS (19:30:07.549) -> CAPTURE_SUCCESS (19:30:07.717) -> WEBHOOK_RECEIVED (19:30:08.225) -> SETTLEMENT_CREATED (00:21:17.797) -> SETTLEMENT_COMPLETED (03:14:33.159)
TX_42_1046_7407,ORDER_CREATED (17:28:00.000) -> PAYMENT_ATTEMPTED (17:28:01.328) -> AUTHORIZATION_FAILED (17:28:02.749) -> PAYMENT_RETRIED (17:28:27.951) -> AUTHORIZATION_SUCCESS (17:28:32.330) -> CAPTURE_SUCCESS (17:28:32.665) -> WEBHOOK_RECEIVED (17:28:44.213) -> SETTLEMENT_CREATED (22:05:14.916) -> SETTLEMENT_COMPLETED (00:35:47.634)
TX_42_1047_2634,ORDER_CREATED (20:38:00.000) -> PAYMENT_ATTEMPTED (20:38:00.606) -> AUTHORIZATION_SUCCESS (20:38:02.421) -> CAPTURE_SUCCESS (20:38:03.103) -> WEBHOOK_RECEIVED (20:38:05.321) -> SETTLEMENT_CREATED (01:27:41.684) -> SETTLEMENT_COMPLETED (04:30:58.262)
TX_42_1049_9316,ORDER_CREATED (06:09:00.000) -> PAYMENT_ATTEMPTED (06:09:01.322) -> AUTHORIZATION_SUCCESS (06:09:03.638) -> CAPTURE_SUCCESS (06:09:04.606) -> WEBHOOK_RECEIVED (06:09:05.537) -> SETTLEMENT_CREATED (04:24:29.398) -> SETTLEMENT_COMPLETED (07:48:01.413)
TX_42_104_7782,ORDER_CREATED (12:19:00.000) -> PAYMENT_ATTEMPTED (12:19:01.022) -> AUTHORIZATION_SUCCESS (12:19:06.004) -> CAPTURE_SUCCESS (12:19:06.509) -> WEBHOOK_RECEIVED (12:19:07.641) -> SETTLEMENT_CREATED (04:59:15.795) -> SETTLEMENT_COMPLETED (06:36:20.656)
TX_42_1050_3014,ORDER_CREATED (12:17:00.000) -> PAYMENT_ATTEMPTED (12:17:02.229) -> AUTHORIZATION_SUCCESS (12:17:04.883) -> CAPTURE_SUCCESS (12:17:05.320) -> WEBHOOK_RECEIVED (12:17:07.161) -> SETTLEMENT_CREATED (06:59:09.430) -> SETTLEMENT_COMPLETED (10:04:30.132)
TX_42_1053_4632,ORDER_CREATED (06:17:00.000) -> PAYMENT_ATTEMPTED (06:17:00.967) -> AUTHORIZATION_SUCCESS (06:17:03.767) -> CAPTURE_SUCCESS (06:17:04.565) -> WEBHOOK_RECEIVED (06:17:05.484) -> SETTLEMENT_CREATED (07:28:30.581) -> SETTLEMENT_COMPLETED (10:15:51.061)
TX_42_1054_7710,ORDER_CREATED (15:34:00.000) -> PAYMENT_ATTEMPTED (15:34:00.679) -> AUTHORIZATION_SUCCESS (15:34:02.669) -> CAPTURE_SUCCESS (15:34:03.464) -> WEBHOOK_RECEIVED (15:34:05.531) -> SETTLEMENT_CREATED (20:46:11.623) -> SETTLEMENT_COMPLETED (23:14:39.588)
TX_42_1055_7935,ORDER_CREATED (21:09:00.000) -> PAYMENT_ATTEMPTED (21:09:00.814) -> AUTHORIZATION_SUCCESS (21:09:04.345) -> CAPTURE_SUCCESS (21:09:04.446) -> WEBHOOK_RECEIVED (21:09:06.128) -> SETTLEMENT_CREATED (05:48:41.950) -> SETTLEMENT_COMPLETED (07:58:31.274)
TX_42_1056_5941,ORDER_CREATED (03:15:00.000) -> PAYMENT_ATTEMPTED (03:15:01.859) -> AUTHORIZATION_SUCCESS (03:15:04.134) -> CAPTURE_SUCCESS (03:15:04.378) -> WEBHOOK_RECEIVED (03:15:06.155) -> SETTLEMENT_CREATED (10:54:41.101) -> SETTLEMENT_COMPLETED (14:34:37.456)
TX_42_1057_6378,ORDER_CREATED (05:44:00.000) -> PAYMENT_ATTEMPTED (05:44:01.042) -> AUTHORIZATION_SUCCESS (05:44:03.787) -> CAPTURE_SUCCESS (05:44:04.741) -> WEBHOOK_RECEIVED (05:44:06.133) -> SETTLEMENT_CREATED (09:43:24.559) -> SETTLEMENT_COMPLETED (10:53:13.981)
TX_42_1058_3714,ORDER_CREATED (12:16:00.000) -> PAYMENT_ATTEMPTED (12:16:02.290) -> AUTHORIZATION_SUCCESS (12:16:07.024) -> CAPTURE_SUCCESS (12:16:07.312) -> WEBHOOK_RECEIVED (12:16:10.299) -> SETTLEMENT_CREATED (23:08:41.717) -> SETTLEMENT_COMPLETED (01:13:41.495)
TX_42_1059_5804,ORDER_CREATED (14:30:00.000) -> PAYMENT_ATTEMPTED (14:30:01.389) -> AUTHORIZATION_SUCCESS (14:30:03.431) -> CAPTURE_SUCCESS (14:30:03.687) -> WEBHOOK_RECEIVED (14:30:04.534) -> SETTLEMENT_CREATED (14:11:11.260) -> SETTLEMENT_COMPLETED (15:22:31.405)
TX_42_105_3682,ORDER_CREATED (07:47:00.000) -> PAYMENT_ATTEMPTED (07:47:00.552) -> AUTHORIZATION_FAILED (07:47:05.564) -> PAYMENT_RETRIED (07:48:50.071) -> AUTHORIZATION_SUCCESS (07:48:53.093) -> CAPTURE_SUCCESS (07:48:53.555) -> WEBHOOK_RECEIVED (07:49:05.266) -> SETTLEMENT_CREATED (13:36:50.285) -> SETTLEMENT_COMPLETED (17:32:41.513)
TX_42_1060_6096,ORDER_CREATED (10:16:00.000) -> PAYMENT_ATTEMPTED (10:16:01.174) -> AUTHORIZATION_SUCCESS (10:16:02.363) -> CAPTURE_SUCCESS (10:16:03.058) -> WEBHOOK_RECEIVED (10:16:03.666) -> SETTLEMENT_CREATED (02:04:44.738) -> SETTLEMENT_COMPLETED (05:45:32.989)
TX_42_1061_7438,ORDER_CREATED (21:17:00.000) -> PAYMENT_ATTEMPTED (21:17:01.042) -> AUTHORIZATION_SUCCESS (21:17:02.291) -> CAPTURE_SUCCESS (21:17:02.470) -> WEBHOOK_RECEIVED (21:17:04.050) -> SETTLEMENT_CREATED (07:11:57.759) -> SETTLEMENT_COMPLETED (10:48:36.369)
TX_42_1062_4157,ORDER_CREATED (12:33:00.000) -> PAYMENT_ATTEMPTED (12:33:01.345) -> AUTHORIZATION_SUCCESS (12:33:05.954) -> CAPTURE_SUCCESS (12:33:06.359) -> WEBHOOK_RECEIVED (12:33:07.746) -> SETTLEMENT_CREATED (23:45:26.436) -> SETTLEMENT_COMPLETED (00:56:48.447)
TX_42_1063_8847,ORDER_CREATED (14:56:00.000) -> PAYMENT_ATTEMPTED (14:56:00.935) -> AUTHORIZATION_SUCCESS (14:56:02.414) -> CAPTURE_SUCCESS (14:56:02.762) -> WEBHOOK_RECEIVED (14:56:05.282) -> SETTLEMENT_CREATED (23:46:24.465) -> SETTLEMENT_COMPLETED (01:05:16.584)
TX_42_1064_5709,ORDER_CREATED (07:59:00.000) -> PAYMENT_ATTEMPTED (07:59:01.841) -> AUTHORIZATION_SUCCESS (07:59:03.493) -> CAPTURE_SUCCESS (07:59:04.027) -> WEBHOOK_RECEIVED (07:59:05.686) -> SETTLEMENT_CREATED (05:43:10.318) -> SETTLEMENT_COMPLETED (08:31:52.388)
TX_42_1065_8396,ORDER_CREATED (14:01:00.000) -> PAYMENT_ATTEMPTED (14:01:01.535) -> AUTHORIZATION_SUCCESS (14:01:04.624) -> CAPTURE_SUCCESS (14:01:04.898) -> WEBHOOK_RECEIVED (14:01:07.122) -> SETTLEMENT_CREATED (21:52:35.487) -> SETTLEMENT_COMPLETED (23:08:07.725)
TX_42_1066_4620,ORDER_CREATED (20:41:00.000) -> PAYMENT_ATTEMPTED (20:41:00.921) -> AUTHORIZATION_SUCCESS (20:41:05.634) -> CAPTURE_SUCCESS (20:41:06.545) -> WEBHOOK_RECEIVED (20:41:07.220) -> SETTLEMENT_CREATED (04:06:11.628) -> SETTLEMENT_COMPLETED (06:42:16.795)
TX_42_1067_3910,ORDER_CREATED (20:31:00.000) -> PAYMENT_ATTEMPTED (20:31:02.870) -> AUTHORIZATION_SUCCESS (20:31:05.240) -> CAPTURE_SUCCESS (20:31:05.956) -> WEBHOOK_RECEIVED (20:31:08.475) -> SETTLEMENT_CREATED (13:09:55.446) -> SETTLEMENT_COMPLETED (14:20:20.253)
TX_42_1068_2360,ORDER_CREATED (11:19:00.000) -> PAYMENT_ATTEMPTED (11:19:00.961) -> AUTHORIZATION_SUCCESS (11:19:03.889) -> CAPTURE_SUCCESS (11:19:04.654) -> WEBHOOK_RECEIVED (11:19:07.557) -> SETTLEMENT_CREATED (21:22:40.858) -> SETTLEMENT_COMPLETED (23:04:08.575)
TX_42_1069_6089,ORDER_CREATED (17:52:00.000) -> PAYMENT_ATTEMPTED (17:52:02.748) -> AUTHORIZATION_SUCCESS (17:52:06.145) -> CAPTURE_SUCCESS (17:52:06.462) -> WEBHOOK_RECEIVED (17:52:07.781) -> SETTLEMENT_CREATED (09:32:26.001) -> SETTLEMENT_COMPLETED (12:33:34.014)
TX_42_1070_2874,ORDER_CREATED (03:03:00.000) -> PAYMENT_ATTEMPTED (03:03:01.774) -> AUTHORIZATION_SUCCESS (03:03:03.275) -> CAPTURE_SUCCESS (03:03:04.055) -> WEBHOOK_RECEIVED (03:03:06.335) -> SETTLEMENT_CREATED (08:09:30.796) -> SETTLEMENT_COMPLETED (10:40:06.464)
TX_42_1071_7208,ORDER_CREATED (12:52:00.000) -> PAYMENT_ATTEMPTED (12:52:02.645) -> AUTHORIZATION_SUCCESS (12:52:05.709) -> CAPTURE_SUCCESS (12:52:06.628) -> WEBHOOK_RECEIVED (12:52:07.237) -> SETTLEMENT_CREATED (16:20:50.611) -> SETTLEMENT_COMPLETED (18:37:25.461)
TX_42_1073_8428,ORDER_CREATED (22:15:00.000) -> PAYMENT_ATTEMPTED (22:15:02.173) -> AUTHORIZATION_SUCCESS (22:15:07.034) -> CAPTURE_SUCCESS (22:15:07.848) -> WEBHOOK_RECEIVED (22:15:09.180) -> SETTLEMENT_CREATED (07:53:05.631) -> SETTLEMENT_COMPLETED (08:55:55.407)
TX_42_1074_3524,ORDER_CREATED (04:59:00.000) -> PAYMENT_ATTEMPTED (04:59:02.079) -> AUTHORIZATION_SUCCESS (04:59:04.765) -> CAPTURE_SUCCESS (04:59:05.402) -> WEBHOOK_RECEIVED (04:59:08.271) -> SETTLEMENT_CREATED (00:27:45.689) -> SETTLEMENT_COMPLETED (01:37:23.008)
TX_42_1077_6877,ORDER_CREATED (19:27:00.000) -> PAYMENT_ATTEMPTED (19:27:02.435) -> AUTHORIZATION_SUCCESS (19:27:04.131) -> CAPTURE_SUCCESS (19:27:04.674) -> WEBHOOK_RECEIVED (19:27:06.894) -> SETTLEMENT_CREATED (00:18:22.056) -> SETTLEMENT_COMPLETED (04:04:50.130)
TX_42_1078_9142,ORDER_CREATED (01:19:00.000) -> PAYMENT_ATTEMPTED (01:19:01.121) -> AUTHORIZATION_SUCCESS (01:19:05.904) -> CAPTURE_SUCCESS (01:19:06.611) -> WEBHOOK_RECEIVED (01:19:09.068) -> SETTLEMENT_CREATED (14:23:14.622) -> SETTLEMENT_COMPLETED (16:45:00.713)
TX_42_107_5196,ORDER_CREATED (01:23:00.000) -> PAYMENT_ATTEMPTED (01:23:01.046) -> AUTHORIZATION_SUCCESS (01:23:03.621) -> CAPTURE_SUCCESS (01:23:04.269) -> WEBHOOK_RECEIVED (01:23:05.880) -> SETTLEMENT_CREATED (12:20:41.521) -> SETTLEMENT_COMPLETED (13:31:12.867)
TX_42_1080_2455,ORDER_CREATED (08:39:00.000) -> PAYMENT_ATTEMPTED (08:39:00.984) -> AUTHORIZATION_SUCCESS (08:39:02.146) -> CAPTURE_SUCCESS (08:39:02.292) -> WEBHOOK_RECEIVED (08:39:04.312) -> SETTLEMENT_CREATED (16:35:01.746) -> SETTLEMENT_COMPLETED (18:41:58.055)
TX_42_1081_2057,ORDER_CREATED (20:18:00.000) -> PAYMENT_ATTEMPTED (20:18:01.478) -> AUTHORIZATION_SUCCESS (20:18:03.064) -> CAPTURE_SUCCESS (20:18:03.945) -> WEBHOOK_RECEIVED (20:18:05.155) -> SETTLEMENT_CREATED (04:30:33.002) -> SETTLEMENT_COMPLETED (07:18:11.896)
TX_42_1082_2558,ORDER_CREATED (05:42:00.000) -> PAYMENT_ATTEMPTED (05:42:01.205) -> AUTHORIZATION_SUCCESS (05:42:04.665) -> CAPTURE_SUCCESS (05:42:04.875) -> WEBHOOK_RECEIVED (05:42:05.381) -> SETTLEMENT_CREATED (09:31:26.654) -> SETTLEMENT_COMPLETED (13:13:03.617)
TX_42_1083_8819,ORDER_CREATED (04:54:00.000) -> PAYMENT_ATTEMPTED (04:54:01.095) -> AUTHORIZATION_SUCCESS (04:54:03.583) -> CAPTURE_SUCCESS (04:54:03.959) -> WEBHOOK_RECEIVED (04:54:06.393) -> SETTLEMENT_CREATED (10:51:17.048) -> SETTLEMENT_COMPLETED (14:38:13.008)
TX_42_1084_5440,ORDER_CREATED (13:25:00.000) -> PAYMENT_ATTEMPTED (13:25:01.467) -> AUTHORIZATION_SUCCESS (13:25:03.800) -> CAPTURE_SUCCESS (13:25:04.296) -> WEBHOOK_RECEIVED (13:25:06.335) -> SETTLEMENT_CREATED (10:55:56.515) -> SETTLEMENT_COMPLETED (13:39:11.458)
TX_42_1085_6309,ORDER_CREATED (01:28:00.000) -> PAYMENT_ATTEMPTED (01:28:02.696) -> AUTHORIZATION_SUCCESS (01:28:05.015) -> CAPTURE_SUCCESS (01:28:05.594) -> WEBHOOK_RECEIVED (01:28:06.310) -> SETTLEMENT_CREATED (14:14:51.141) -> SETTLEMENT_COMPLETED (17:13:55.077)
TX_42_1086_1829,ORDER_CREATED (11:23:00.000) -> PAYMENT_ATTEMPTED (11:23:01.075) -> AUTHORIZATION_SUCCESS (11:23:04.635) -> CAPTURE_SUCCESS (11:23:04.939) -> WEBHOOK_RECEIVED (11:23:05.987) -> SETTLEMENT_CREATED (06:17:07.284) -> SETTLEMENT_COMPLETED (08:03:13.500)
TX_42_1087_5365,ORDER_CREATED (09:15:00.000) -> PAYMENT_ATTEMPTED (09:15:01.060) -> AUTHORIZATION_SUCCESS (09:15:03.808) -> CAPTURE_SUCCESS (09:15:04.181) -> WEBHOOK_RECEIVED (09:15:05.357) -> SETTLEMENT_CREATED (10:13:36.087) -> SETTLEMENT_COMPLETED (14:11:29.036)
TX_42_108_3793,ORDER_CREATED (10:08:00.000) -> PAYMENT_ATTEMPTED (10:08:02.185) -> AUTHORIZATION_FAILED (10:08:06.235) -> PAYMENT_RETRIED (10:10:23.649) -> PAYMENT_FAILED (10:10:26.292) -> WEBHOOK_RECEIVED (10:10:28.053)
TX_42_1090_6566,ORDER_CREATED (18:45:00.000) -> PAYMENT_ATTEMPTED (18:45:01.909) -> AUTHORIZATION_SUCCESS (18:45:06.572) -> CAPTURE_SUCCESS (18:45:07.503) -> WEBHOOK_RECEIVED (18:45:08.369) -> SETTLEMENT_CREATED (22:21:49.583) -> SETTLEMENT_COMPLETED (01:09:33.897)
